dataset size, svm macroF1Score, svm accuracy, svm time, dtree macroF1Score, dtree accuracy, dtree time, nn macroF1Score, nn accuracy, nn time
5000,0.8100979032009435,0.9759839893262174,0.46569299697875977,0.9802264671794383,0.9973315543695798,0.054930925369262695,0.9809213215489255,0.9979986657771848,0.1475980281829834
10000,0.8664782085388607,0.9713237745915305,1.6969401836395264,0.7080980449820353,0.9963321107035679,0.10882902145385742,0.9551644009994963,0.9949983327775925,0.31681299209594727
15000,0.6684232527563316,0.9757723938653035,3.498710870742798,0.7392506040105241,0.9984440986885975,0.17217683792114258,0.7293963800237986,0.9959991109135363,0.4291081428527832
20000,0.6717557621346985,0.981663610601767,5.781486988067627,0.9307134830292809,0.9983330555092516,0.22130107879638672,0.8904058020540104,0.997832972162027,0.8271758556365967
25000,0.5449270244244185,0.9822643019069209,14.6008620262146,0.668096549621692,0.9978663821842912,0.27579808235168457,0.7861260066363833,0.9982664355247366,0.7181429862976074
30000,0.5335682504823689,0.9848872096899656,23.563796997070312,0.8554221464085184,0.9983331481275697,0.33330297470092773,0.5888573903925627,0.9966662962551395,1.6793198585510254
35000,0.6672996304722143,0.9844747118773216,33.90518498420715,0.8852069229402297,0.999047528336032,0.3928840160369873,0.724896164075189,0.9959043718449376,2.096912145614624
40000,0.6780638427399932,0.9850820901741811,46.994515895843506,0.6939178860768255,0.9989999166597217,0.4524660110473633,0.730886351870696,0.9946662221851821,1.810999870300293
45000,0.6729998908985524,0.9861481481481481,60.162383794784546,0.9927590014779079,0.9993333333333333,0.5126039981842041,0.9102187068702783,0.9991111111111111,1.4540247917175293
50000,0.6761844133266852,0.9877991866124408,75.34586310386658,0.9093588719977425,0.9994666311087406,0.5711460113525391,0.8641611225085424,0.9987332488832589,1.4464709758758545
55000,0.6773046510824945,0.9871507364082671,104.66972327232361,0.7107667281517014,0.9989090247893812,0.6366958618164062,0.9064518393256096,0.9927874416631312,1.8697268962860107
60000,0.6821683956007774,0.9877215400855603,111.04290890693665,0.7259394533911447,0.9990555030835047,0.7004930973052979,0.6764299542004191,0.9984999166620367,1.6344459056854248
65000,0.7270278666080334,0.988307092671419,135.96166825294495,0.9339339598223821,0.9989230216934202,0.7589778900146484,0.7354324154402074,0.9980511821119031,1.4615411758422852
70000,0.7222335871541709,0.9885708843278251,183.41860485076904,0.9223245982136137,0.9990475736939854,0.820469856262207,0.6726870036137406,0.9919519977141769,2.3822619915008545
75000,0.7394692608577116,0.9886217165207343,186.95058178901672,0.729607242603979,0.9987999466642962,0.8870120048522949,0.7268132095254651,0.9968887506111382,2.05826997756958
80000,0.7359789401535232,0.9889995416475686,215.13151597976685,0.7809673006389646,0.9991666319429976,0.9448318481445312,0.7054120675026321,0.984916038168257,1.6706421375274658
85000,0.7953721375307874,0.9891764705882353,263.5959312915802,0.7412910410909909,0.9990980392156863,0.9983558654785156,0.6953669221718481,0.9868627450980392,1.7935950756072998
90000,0.7747387351175862,0.9892592592592593,341.9904410839081,0.9492550888826023,0.9994444444444445,1.0532331466674805,0.7322133453107227,0.9979629629629629,4.254178047180176
95000,0.7387410572166127,0.9890522474472788,348.1598651409149,0.9387698717244894,0.9994034878416787,1.1126830577850342,0.6969542605831316,0.9873328888732938,2.1467151641845703
100000,0.743640025168824,0.9896663222107404,397.6696066856384,0.9510017488635998,0.9994333144438148,1.1649112701416016,0.7222549608999747,0.9955665188839627,3.675086259841919
105000,0.6905660788740888,0.9901584177275469,433.3861107826233,0.9731502057810423,0.9995237944061717,1.2291021347045898,0.6859649666969747,0.9901266706879583,2.743453025817871
110000,0.6884753318343437,0.9901512167035365,494.3016309738159,0.9659544704940248,0.999696960513955,1.3455560207366943,0.7147917364180794,0.9966968696021091,3.879580020904541
115000,0.68835769608407,0.99034754630569,544.0813539028168,0.9747162889707321,0.9997101365256964,1.7404260635375977,0.6874463140787187,0.9939128670396243,2.647296905517578
120000,0.7879074230164371,0.9904719575543766,607.9224970340729,0.9512402993230109,0.9995833217589377,1.4221930503845215,0.6791141125396754,0.991860885024584,4.12689995765686
125000,0.7322785431797356,0.9909597589269047,942.449049949646,0.9517522674374673,0.9996533240886424,1.490764856338501,0.6947412612017432,0.994639857062855,2.447719097137451
130000,0.7328504575635169,0.9911023359573322,885.7207040786743,0.9469154606526404,0.9996410164363189,1.5595169067382812,0.7136892929517737,0.9962050308982282,2.7925920486450195
135000,0.7809120639186553,0.9917034988518235,1030.994555234909,0.942147774478233,0.9996790044198622,1.627662181854248,0.6710079649338065,0.9890120743722067,2.6181716918945312
140000,0.8413928661700396,0.9920712397914236,1065.209788799286,0.8887772585154893,0.9994523679135218,1.7033650875091553,0.7026209349677264,0.99497607085883,3.9518136978149414
145000,0.6853646814563443,0.9924825858065702,1154.5402398109436,0.7654734763949284,0.9996091864180786,1.76003098487854,0.6610686698387912,0.9985516908434676,4.549123764038086
150000,0.6766112856352443,0.9924442765394786,1415.424971818924,0.7388011717314169,0.9995999911109136,1.8257489204406738,0.5908966473702536,0.9976666148136625,2.9164979457855225
